,datetime,id,verification,phone,lat,lon,picked up,address,total_litter,SMOKING,FOOD,COFFEE,ALCOHOL,SOFTDRINKS,SANITARY,COASTAL,BRANDS,OTHER
0,2021-03-14 11:21:24,130944,2,iPhone 6,52.650311111111,5.0819916666667,Yes,"2, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, The Netherlands",2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,2021-03-14 11:21:28,259187,2,iPhone 6,52.650391666667,5.0822166666667,Yes,"5, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-03-14 11:22:20,259188,2,iPhone 6,52.650402777778,5.0822722222222,Yes,"6, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-03-14 11:23:20,129774,2,iPhone 6,52.650525,5.0823388888889,Yes,"3, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, The Netherlands",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2021-03-14 11:24:19,259161,2,iPhone 6,52.650444444444,5.0823027777778,Yes,"6, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-03-14 11:26:40,259189,2,iPhone 6,52.650230555556,5.0822861111111,Yes,"8, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-03-14 11:26:42,177036,2,iPhone 6,52.650227777778,5.0822805555556,Yes,"8, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, The Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2021-03-14 11:30:20,177868,2,iPhone 6,52.650288888889,5.0824361111111,Yes,"9, Messing, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, The Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2021-03-14 11:31:49,255035,2,iPhone 6,52.649963888889,5.0820388888889,Yes,"8, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, Netherlands",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-03-14 11:31:52,179054,2,iPhone 6,52.649963888889,5.0820777777778,Yes,"8, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HE, The Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,2021-03-14 11:34:34,254516,2,iPhone 6,52.650002777778,5.0824055555556,Yes,"18, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HG, Netherlands",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,2021-03-14 11:35:13,130945,2,iPhone 6,52.64985,5.0825333333333,Yes,"18, Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HG, The Netherlands",2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,2021-03-14 11:36:30,131560,2,iPhone 6,52.649380555556,5.0832055555556,Yes,"Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HG, The Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,2021-03-14 11:36:36,259162,2,iPhone 6,52.649363888889,5.0832,Yes,"Amstelweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HG, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-03-14 11:36:46,225641,2,iPhone 6,52.649375,5.08325,Yes,"30, Geulweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HG, Netherlands",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
