,datetime,id,verification,phone,lat,lon,picked up,address,total_litter,SMOKING,FOOD,COFFEE,ALCOHOL,SOFTDRINKS,SANITARY,COASTAL,BRANDS,OTHER
0,2021-06-30 16:01:21,222660,2,iPhone 6,52.650688888889,5.0816361111111,Yes,"6, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2021-06-30 16:02:32,225404,2,iPhone 6,52.650872222222,5.0827583333333,Yes,"63, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HJ, Netherlands",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,2021-06-30 16:03:14,228095,2,iPhone 6,52.650755555556,5.082025,Yes,"11, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,2021-06-30 16:03:35,258201,2,iPhone 6,52.650580555556,5.0818,Yes,"Hunzeweg, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-06-30 16:04:22,222662,2,iPhone 6,52.650830555556,5.0822416666667,Yes,"15, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2021-06-30 16:04:53,222663,2,iPhone 6,52.650891666667,5.08255,Yes,"20, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,2021-06-30 16:05:03,222664,2,iPhone 6,52.650872222222,5.0825861111111,Yes,"20, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2021-06-30 16:05:19,222665,2,iPhone 6,52.650875,5.0825916666667,Yes,"20, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2021-06-30 16:05:21,222666,2,iPhone 6,52.650875,5.0825916666667,Yes,"20, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,2021-06-30 16:05:24,222668,2,iPhone 6,52.650875,5.0825861111111,Yes,"20, Stijl, Kersenboogerd, Hoorn, North Holland, Netherlands, 1628HA, Netherlands",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
